Nombre,Precio,Marca,Categoria,UrlCompra,Imagen
"Huevo Gallina Don Cristobal Marrón Cartón De 30 Unidades, Precio Indicado Por Kilo",1739.79,DON CRISTOBAL,/Lácteos/Huevo/Marrón/,https://www.walmart.co.cr/huevo-gallina-marca-don-cristobal-marron-30-unidades-kilo,https://walmartcr.vteximg.com.br/arquivos/ids/540117/Huevo-Gallina-Don-Cristobal-Marr-n-Cart-n-De-30-Unidades-Precio-Indicado-Por-Kilo-1-85784.jpg?v=638427549785300000
Toalla De Papel Mil Usos Nevax 3 unidades,1400.0,NEVAX,/Limpieza/Desechables/Toallas de cocina/,https://www.walmart.co.cr/toalla-cocina-nevax-mil-usos-3ea,https://walmartcr.vteximg.com.br/arquivos/ids/895676/10593_01.jpg?v=638785329016900000
Papa Blanca Nacional Kilo - 4 Unidades Por Kilo Aproximadamente,942.85,HORTIFRUTI,"/Frutas y Verduras/Verduras/Cebollas, papas y verduras de raíz/",https://www.walmart.co.cr/papa-blanca-nacional-kilo-cr-17mar25,https://walmartcr.vteximg.com.br/arquivos/ids/530570/Papa-Granel-Kilo-4-a-7-unidades-Aproximadamente-1-26189.jpg?v=638419994078070000
Frijol rojo Indiana bolsa - 800 g,1330.0,INDIANA,"/Abarrotes/Arroz, Frijol y Semillas/Frijol/",https://www.walmart.co.cr/frijol-rojo-indiana-bolsa-800-g,https://walmartcr.vteximg.com.br/arquivos/ids/669185/2361_01.jpg?v=638594318739770000
Arroz Tío Pelón 99% grano entero enriquecido - 1.8 kg,1720.0,TIO PELON,"/Abarrotes/Arroz, Frijol y Semillas/Arroz/",https://www.walmart.co.cr/arroz-tio-pelon-entero-99-1800gr,https://walmartcr.vteximg.com.br/arquivos/ids/610493/Arroz-Tio-Pelo-99-Grano-Entero-1800-gr-1-31043.jpg?v=638515680492000000
"Huevo Gallina Marketside Pastoreo Cartón De 30 Unidades, Precio Indicado Por Kilo",2040.21,MARKETSIDE,/Lácteos/Huevo/Marrón/,https://www.walmart.co.cr/huevo-gallina-marca-don-cristobal-pastoreo-30-unidades-kilo,https://walmartcr.vteximg.com.br/arquivos/ids/469973/Huevo-Gallina-Don-Cristobal-Pastoreo-Cart-n-De-30-Unidades-Precio-Indicado-Por-Kilo-1-85787.jpg?v=638339529785930000
"Huevo Gallina Don Cristobal Marrón Cartón De 15 Unidades, Precio Indicado Por Kilo",1739.58,DON CRISTOBAL,/Lácteos/Huevo/Marrón/,https://www.walmart.co.cr/huevo-gallina-marca-don-cristobal-marron-15-unidades-kilo,https://walmartcr.vteximg.com.br/arquivos/ids/469971/Huevo-Gallina-Don-Cristobal-Marr-n-Cart-n-De-15-Unidades-Precio-Indicado-Por-Kilo-1-85783.jpg?v=638339529777570000
Pan cuadrado Bimbo blanco cero - 550 g,1970.0,BIMBO,/Panadería y tortillería/Pan Salado/Pan Europeo y Rústico/,https://www.walmart.co.cr/pan-cuadrado-bimbo-blanco-cero-550-g,https://walmartcr.vteximg.com.br/arquivos/ids/829029/56129_01.jpg?v=638711758458770000
Chile dulce morrón rojo Hortifruti fresco - 1 Ud,750.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Chiles, ajos, y pimientos/",https://www.walmart.co.cr/chile-morron-rojo-unidad-3,https://walmartcr.vteximg.com.br/arquivos/ids/531127/Chile-Morron-Rojo-Unidad-1-71198.jpg?v=638421179831570000
Toalla de Papel Scott Multi Absorb 80 Hojas por Rollo - 3 Rollos,1350.0,SCOTT,/Limpieza/Desechables/Toallas de cocina/,https://www.walmart.co.cr/toallas-de-papel-desechable-scott-esencial-3-rollos,https://walmartcr.vteximg.com.br/arquivos/ids/942133/44225_01.jpg?v=638851407224700000
Banano Selección Especial Kilo,653.33,HORTIFRUTI,"/Frutas y Verduras/Frutas/Bananos, Papayas y tropicales/",https://www.walmart.co.cr/banano-seleccion-especial-kilo-2,https://walmartcr.vteximg.com.br/arquivos/ids/380406/Banano-Selecci-n-Especial-Kilo-1-60311.jpg?v=638103010359230000
Tomate Cherry Hortifruti Empacado -300 g,770.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Tomates, aguacates y básicos/",https://www.walmart.co.cr/tomate-cherry-grape-empacado-300gr-4,https://walmartcr.vteximg.com.br/arquivos/ids/343221/Tomate-Cherry-Grape-Empacado-300gr-1-61539.jpg?v=637992853287600000
Tomate Empacado Malla 1.5 Kilo -7 a 8 unidades Aproximadamente,1060.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Tomates, aguacates y básicos/",https://www.walmart.co.cr/tomate-empacado-malla-1-5-kg-a-aproximadamente-4,https://walmartcr.vteximg.com.br/arquivos/ids/783809/20172_01.jpg?v=638678454077030000
Limón Mesino 8 Unidades,1270.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Naranja, Limón y cítricos/",https://www.walmart.co.cr/limon-mesino-unidades-4,https://walmartcr.vteximg.com.br/arquivos/ids/175397/Limon-Mesino-8-Unidades-1-55469.jpg?v=637541350479770000
Plátano maduro Hortifruti - Precio indicado por unidad,210.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Bananos, Papayas y tropicales/",https://www.walmart.co.cr/platano-maduro-unidad,https://walmartcr.vteximg.com.br/arquivos/ids/554063/Platano-Maduro-Unidad-1-37215.jpg?v=638447209170530000
Lechuga Americana unidad,240.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Lechugas, espinacas y hojas verdes/",https://www.walmart.co.cr/lechuga-americana-unidad-2,https://walmartcr.vteximg.com.br/arquivos/ids/381509/Lechuga-Americana-unidad-1-38481.jpg?v=638115539889000000
Queso Crema Dos Pinos Original - 210g,1410.0,DOS PINOS,/Lácteos/Queso/Queso Crema/,https://www.walmart.co.cr/queso-dos-pinos-crema-americano-210gr,https://walmartcr.vteximg.com.br/arquivos/ids/880677/11491_01.jpg?v=638762145749530000
Margarina Numar caja de 4 Uds - 500 g,960.0,NUMAR,/Lácteos/Mantequillas y margarinas/Margarinas/,https://www.walmart.co.cr/margarina-numar-caja-de-4-uds-500-g-,https://walmartcr.vteximg.com.br/arquivos/ids/507572/Margarina-Numar-Caja-500Gr-1-33672.jpg?v=638416004787100000
Arroz Tío Pelón 99% grano entero - 4000 g,4200.0,TIO PELON,"/Abarrotes/Arroz, Frijol y Semillas/Arroz/",https://www.walmart.co.cr/arroz-tio-pelon-99--grano-entero-4000-g,https://walmartcr.vteximg.com.br/arquivos/ids/507547/Arroz-Tio-Pelon-99-Grano-Entero-4000-gr-1-30097.jpg?v=638416004673430000
Sal Sol refinada con yodo y fluor bolsa - 500 g,430.0,SOL,/Abarrotes/Especias y Sazonadores/Sal y Condimentos/,https://www.walmart.co.cr/sal-sol-refinada-yodada-bolsa-500gr,https://walmartcr.vteximg.com.br/arquivos/ids/536077/Sal-Sol-Refinada-Con-Yodo-y-Fluor-Bolsa-500gr-1-30088.jpg?v=638422922236100000
"Pechuga de Pollo Entera Don Cristobal, Precio indicado por Kilo",2250.0,DON CRISTOBAL,/Carnes y Pescados/Pollo y Pavo/Pollo/,https://www.walmart.co.cr/pechuga-entera-pollo-kg,https://walmartcr.vteximg.com.br/arquivos/ids/530578/Pechuga-de-Pollo-Entera-Don-Cristobal-Precio-indicado-por-Kilo-1-26842.jpg?v=638419994116070000
Culantro Coyote En Rollo,200.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Cebollas, papas y verduras de raíz/",https://www.walmart.co.cr/culantro-coyote-en-rollo-4,https://walmartcr.vteximg.com.br/arquivos/ids/530577/Culantro-Coyote-En-Rollo-1-26762.jpg?v=638419994112170000
Brocoli Empacado 1Kg-2 A 3 Unidades. Aproximadamente,1170.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Hongos, brócolis y espárragos/",https://www.walmart.co.cr/brocoli-empacado-1kg-a-unidades-aproximadamente-4,https://walmartcr.vteximg.com.br/arquivos/ids/530496/Brocoli-Empacado-1Kg-2-A-3-Unidades-Aproximadamente-1-26250.jpg?v=638419993732600000
Ajo Malla 3 Uds,310.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Cebollas, papas y verduras de raíz/",https://www.walmart.co.cr/ajo-malla-uds-2,https://walmartcr.vteximg.com.br/arquivos/ids/264757/Inactivar-967-1-26212.jpg?v=637751145771330000
Zanahoria Hortifruti 6 a 8 uds aproximadamente - 1 kg,452.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Cebollas, papas y verduras de raíz/",https://www.walmart.co.cr/zanahoria-kg-a-unidades-por-kg-aproximadamente-5,https://walmartcr.vteximg.com.br/arquivos/ids/530488/Zanahoria-Kg-6-A-8-Unidades-Por-Kg-Aproximadamente-1-26197.jpg?v=638419993694930000
